ymd,AqiLevel,bWendu,fengli,yWendu,month,day,pollution,N,S,E,W,wind,weather1,weather2,rain,snow,wet,good_weather
2017-01-01,6,6,1,-3,1,1,1,0,1,0,0,4,14,14,0,0,0,0
2017-01-02,5,8,1,-7,1,2,1,0,1,0,0,4,7,14,0,0,0,0
2017-01-03,6,5,1,-5,1,3,1,0,1,0,0,4,14,14,0,0,0,0
2017-01-04,6,7,1,-6,1,4,1,1,0,0,0,3,14,14,0,0,0,0
2017-01-05,5,3,1,-5,1,5,1,1,0,0,0,3,14,14,0,0,0,0
2017-01-06,5,4,1,-3,1,6,1,0,1,0,0,4,14,14,0,0,0,0
2017-01-07,4,2,1,-4,1,7,1,1,0,0,0,3,5,13,0,1,1,0
2017-01-08,2,6,1,-5,1,8,0,1,0,0,0,3,9,7,0,0,0,1
2017-01-09,1,4,1,-5,1,9,0,0,1,0,0,4,7,7,0,0,0,1
2017-01-10,1,5,1,-7,1,10,0,1,0,0,0,3,7,7,0,0,0,1
2017-01-11,2,6,1,-6,1,11,0,0,1,0,0,4,7,7,0,0,0,1
2017-01-12,2,6,1,-5,1,12,0,0,1,0,0,4,7,7,0,0,0,1
2017-01-13,1,4,2,-7,1,13,0,1,0,0,0,3,7,7,0,0,0,1
2017-01-14,1,3,1,-7,1,14,0,0,1,0,0,4,7,7,0,0,0,1
2017-01-15,2,1,1,-7,1,15,0,0,1,0,0,4,14,14,0,0,0,0
2017-01-16,3,1,1,-5,1,16,1,0,0,1,0,2,14,5,0,1,1,0
2017-01-17,4,6,1,-7,1,17,1,1,0,0,0,3,1,7,0,0,0,1
2017-01-18,2,3,1,-5,1,18,0,0,1,0,0,4,1,5,0,1,1,0
2017-01-19,2,0,4,-9,1,19,0,1,0,0,0,3,7,7,0,0,0,1
2017-01-20,1,1,1,-9,1,20,0,0,1,0,0,4,7,1,0,0,0,1
2017-01-21,2,0,3,-9,1,21,0,1,0,1,0,0,7,7,0,0,0,1
2017-01-22,1,1,1,-11,1,22,0,0,1,0,0,4,7,7,0,0,0,1
2017-01-23,1,1,1,-8,1,23,0,0,1,0,1,6,1,7,0,0,0,1
2017-01-24,3,5,1,-7,1,24,1,0,1,0,0,4,1,1,0,0,0,1
